position,name,age,team,attack,def,overall,price,value
Forward,Agüero,32,Manchester City,87,14,50,22.3M,13.9M
Forward,Mertens,33,Napoli,85,13,49,17.7M,11.8M
Forward,Burgstaller,31,Team Lawyer,79,7,43,17.5M,7.0M
Forward,Lennon,33,Team Spy,79,24,51,16.8M,6.8M
Forward,Jiménez,29,Wolverhampton Wanderers,83,13,48,16.7M,11.1M
Forward,Vardy,33,Leicester City,84,7,45,16.3M,10.9M
Forward,Ilicic,32,Atalanta,82,36,59,14.9M,9.7M
Forward,Zarate,33,Team Scout,76,28,52,13.7M,5.5M
Forward,Martinez J.,33,Team Attacker,76,17,46,13.4M,5.4M
Forward,Vela,31,Los Angeles FC,80,30,55,12.5M,8.1M
Forward,Murray,36,Team Lawyer,76,6,41,12.0M,4.9M
Forward,Nakajima,26,Porto,78,23,50,12.0M,7.3M
Forward,Rigoni,27,Team Interviewer,73,30,51,11.8M,4.8M
Forward,Sharp,34,Team Lawyer,75,8,41,11.8M,4.7M
Forward,Rony Lopes,24,Nice,76,43,59,10.7M,6.6M
Forward,Quaresma,36,Team Goalkeeper,74,34,54,10.6M,4.3M
Forward,Boselli,35,Team Defender,74,18,46,9.0M,4.3M
Forward,João,27,Team Scout,71,11,41,8.9M,3.6M
Forward,Cristo,22,Udinese,71,16,43,6.6M,3.9M
Forward,Aduriz,39,Team Analyst,70,14,42,5.7M,2.2M
Midfielder,Pogba,27,Manchester United,88,88,88,23.7M,14.7M
Midfielder,Arturo Vidal,33,Barcelona,86,87,86,19.6M,12.0M
Midfielder,Luis Alberto,27,Lazio,87,83,85,19.5M,12.0M
Midfielder,Zielinski,26,Napoli,82,82,82,14.5M,9.7M
Midfielder,Fellaini,32,Shandong Luneng Taishan,81,82,81,14.0M,8.7M
Midfielder,Hendrick,28,Team Scout,77,77,77,13.7M,5.5M
Midfielder,Maksimovic,25,Getafe,80,79,79,13.3M,8.2M
Midfielder,Moralez,33,Team Spy,79,75,77,12.2M,4.9M
Midfielder,Sanchez C.,34,Team Scout,73,81,77,11.9M,4.8M
Midfielder,Natcho,32,Team Interviewer,77,75,76,11.7M,4.7M
Midfielder,Radovanovic,32,Team Midfielder,73,79,76,11.7M,4.7M
Midfielder,Valbuena,35,Team Spy,78,75,76,11.5M,4.6M
Midfielder,Ivanov,34,Team Midfielder,77,74,75,11.0M,4.4M
Midfielder,Celina,24,Team Midfielder,75,72,73,10.4M,4.2M
Midfielder,Kayal,32,Team Agent,73,71,72,8.2M,3.3M
Midfielder,Frantz,33,Team Interviewer,71,69,70,6.3M,2.6M
Midfielder,Vico,26,Team Spy,71,67,69,6.3M,2.5M
Midfielder,Moisés,32,Shandong Luneng Taishan,75,74,74,6.2M,4.0M
Defender,Robertson,26,Liverpool,21,87,54,18.4M,10.7M
Defender,Kjaer,31,AC Milan,6,83,44,12.3M,7.0M
Defender,Baines,35,Team Interviewer,26,77,51,9.8M,3.9M
Defender,Chiellini,36,Juventus,12,84,48,9.7M,6.7M
Defender,Mee,30,Burnley,15,80,47,8.6M,5.5M
Defender,E. Stevens,30,Sheffield United,36,77,56,7.7M,4.8M
Defender,Beasley,38,Team Analyst,39,73,56,7.3M,2.8M
Defender,Ely,26,Team Agent,13,71,42,6.2M,2.5M
Defender,Cortez,33,Grêmio,40,71,55,4.1M,2.9M
Defender,Jagielka,38,Team Agent,13,70,41,4.0M,1.6M
Defender,te Wierik,28,Team Lawyer,6,67,36,3.6M,1.5M
Goalkeeper,Mignolet,32,Team Analyst,0,83,41,13.7M,5.4M
Goalkeeper,Patrício,32,Wolverhampton Wanderers,0,85,42,9.7M,6.7M
Goalkeeper,Fahrmann,31,Team Goalkeeper,0,78,39,9.1M,3.7M
Goalkeeper,Leno,28,Arsenal,0,82,41,8.5M,5.6M
Goalkeeper,Handanovic,36,Inter Milan,0,83,41,7.5M,4.9M
Goalkeeper,Julio Cesar,34,Team Analyst,0,75,37,5.6M,2.2M
Goalkeeper,Benítez,27,Nice,0,76,38,5.1M,3.1M
Goalkeeper,Begovic,33,Team Midfielder,0,74,37,4.9M,2.0M
Goalkeeper,Kaminski,27,Team Security,0,70,35,4.2M,1.7M
Goalkeeper,Fariñez,22,Lens,0,73,36,3.8M,2.2M
